"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"PSW00040305","1945-05-01","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   15",",,X","    0",",,X","  317",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-02","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  328",",,X","  250",",,X",,,,,,
"PSW00040305","1945-05-03","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  333",",,X","  272",",,X",,,,,,
"PSW00040305","1945-05-04","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  173",",,X","    0",",,X","  311",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-05","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  317",",,X","  261",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-06","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  947",",,X","    0",",,X","  300",",,X","  222",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-07","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,,
"PSW00040305","1945-05-08","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,,
"PSW00040305","1945-05-09","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  368",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-10","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  137",",,X","    0",",,X","  311",",,X","  233",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-11","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  122",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-12","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  311",",,X","  267",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-13","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   51",",,X","    0",",,X","  322",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-14","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  328",",,X","  256",",,X",,,,,,
"PSW00040305","1945-05-15","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   13",",,X","    0",",,X","  322",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-16","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   76",",,X","    0",",,X","  333",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-17","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   76",",,X","    0",",,X","  311",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-18","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  102",",,X","    0",",,X","  317",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-19","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   30",",,X","    0",",,X","  311",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-20","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    5",",,X","    0",",,X","  333",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-21","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   38",",,X","    0",",,X","  289",",,X","  250",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-22","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  267",",,X","    0",",,X","  333",",,X","  239",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-23","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   79",",,X","    0",",,X","  306",",,X","  239",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-24","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  328",",,X","  261",",,X",,,,,,
"PSW00040305","1945-05-25","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   13",",,X","    0",",,X","  328",",,X","  261",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-26","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  422",",,X","    0",",,X","  278",",,X","  239",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-05-27","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  306",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-28","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  322",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-29","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  109",",,X","    0",",,X","  311",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-30","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   56",",,X","    0",",,X","  306",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-05-31","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  137",",,X","    0",",,X","  283",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-01","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   84",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-02","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  180",",,X","    0",",,X","  306",",,X","  250",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-06-03","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    5",",,X","    0",",,X","  294",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-04","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  300",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-05","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  559",",,X","    0",",,X","  300",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-06","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   13",",,X","    0",",,X","  317",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-07","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  328",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-08","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   81",",,X","    0",",,X","  322",",,X","  261",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-09","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  140",",,X","    0",",,X","  328",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-10","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   23",",,X","    0",",,X","  311",",,X","  261",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-11","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   46",",,X","    0",",,X","  317",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-12","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    5",",,X","    0",",,X","  322",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-13","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  300",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-14","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  757",",,X","    0",",,X","  289",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-15","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  292",",,X","    0",",,X","  272",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-16","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   99",",,X","    0",",,X","  300",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-17","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  112",",,X","    0",",,X","  300",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-18","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  257",",,X","    0",",,X","  283",",,X","  228",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-19","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   91",",,X","    0",",,X","  311",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-20","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  261",",,X",,,,,,
"PSW00040305","1945-06-21","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   97",",,X","    0",",,X","  311",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-22","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  462",",,X","    0",",,X","  289",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-23","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  124",",,X","    0",",,X","  311",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-24","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    3",",,X","    0",",,X","  311",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-25","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,,
"PSW00040305","1945-06-26","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  311",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-27","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  602",",,X","    0",",,X","  306",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-28","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   15",",,X","    0",",,X","  294",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-29","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  465",",,X","    0",",,X","  306",",,X","  228",",,X",,,,,"    1",",,X"
"PSW00040305","1945-06-30","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  102",",,X","    0",",,X","  306",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-01","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  163",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-02","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  180",",,X","    0",",,X","  300",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-03","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   15",",,X","    0",",,X","  306",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-04","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  356",",,X","    0",",,X","  278",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-05","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  343",",,X","    0",",,X","  306",",,X","  233",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-07-06","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  317",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-07","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  422",",,X","    0",",,X","  283",",,X","  228",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-08","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  300",",,X","  228",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-09","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  175",",,X","    0",",,X","  300",",,X","  233",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-07-10","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  556",",,X","    0",",,X","  294",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-11","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   53",",,X","    0",",,X","  306",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-12","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  175",",,X","    0",",,X","  278",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-13","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  361",",,X","    0",",,X","  283",",,X","  222",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-14","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   58",",,X","    0",",,X","  294",",,X","  228",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-15","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  859",",,X","    0",",,X","  272",",,X","  228",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-16","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   76",",,X","    0",",,X","  306",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-17","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  306",",,X","  256",",,X",,,,,,
"PSW00040305","1945-07-18","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   48",",,X","    0",",,X","  300",",,X","  256",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-07-19","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  424",",,X","    0",",,X","  300",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-20","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   84",",,X","    0",",,X","  306",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-21","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   46",",,X","    0",",,X","  300",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-22","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   13",",,X","    0",",,X","  311",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-23","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS"," 1024",",,X","    0",",,X","  272",",,X","  228",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-07-24","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   18",",,X","    0",",,X","  306",",,X","  261",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-25","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  127",",,X","    0",",,X","  311",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-26","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   38",",,X","    0",",,X","  311",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-27","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    3",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-28","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   15",",,X","    0",",,X","  311",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-07-29","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  317",",,X","  256",",,X",,,,,,
"PSW00040305","1945-07-30","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,,
"PSW00040305","1945-07-31","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  328",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-01","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   10",",,X","    0",",,X","  328",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-02","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   13",",,X","    0",",,X","  317",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-03","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    8",",,X","    0",",,X","  306",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-04","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  239",",,X",,,,,,
"PSW00040305","1945-08-05","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  311",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-06","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   38",",,X","    0",",,X","  322",",,X","  261",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-07","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    8",",,X","    0",",,X","  311",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-08","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  305",",,X","    0",",,X","  278",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-09","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  368",",,X","    0",",,X","  311",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-10","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  317",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-11","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    3",",,X","    0",",,X","  317",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-12","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   58",",,X","    0",",,X","  311",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-13","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  328",",,X","  239",",,X",,,,,,
"PSW00040305","1945-08-14","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    3",",,X","    0",",,X","  328",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-15","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    5",",,X","    0",",,X","  328",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-16","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   15",",,X","    0",",,X","  328",",,X","  250",",,X",,,"    1",",,X","    1",",,X"
"PSW00040305","1945-08-17","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   46",",,X","    0",",,X","  317",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-18","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    8",",,X","    0",",,X","  306",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-19","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,,
"PSW00040305","1945-08-20","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  328",",,X","  244",",,X",,,,,,
"PSW00040305","1945-08-21","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   41",",,X","    0",",,X","  317",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-22","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  180",",,X","    0",",,X","  317",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-23","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    5",",,X","    0",",,X","  306",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-24","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0","T,,X","    0",",,X","  322",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-25","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   76",",,X","    0",",,X","  300",",,X","  256",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-26","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   20",",,X","    0",",,X","  306",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-27","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  112",",,X","    0",",,X","  317",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-28","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   36",",,X","    0",",,X","  317",",,X","  239",",,X",,,,,,
"PSW00040305","1945-08-29","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  904",",,X","    0",",,X","  283",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-08-30","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","    0",",,X","    0",",,X","  322",",,X","  244",",,X",,,,,,
"PSW00040305","1945-08-31","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  112",",,X","    0",",,X","  311",",,X","  244",",,X",,,,,"    1",",,X"
"PSW00040305","1945-09-01","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  335",",,X","    0",",,X","  306",",,X","  239",",,X","    1",",,X",,,"    1",",,X"
"PSW00040305","1945-09-02","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","   46",",,X","    0",",,X","  289",",,X","  250",",,X",,,,,"    1",",,X"
"PSW00040305","1945-09-03","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  130",",,X","    0",",,X","  294",",,X","  228",",,X",,,,,"    1",",,X"
"PSW00040305","1945-09-04","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  663",",,X","    0",",,X","  300",",,X","  233",",,X",,,,,"    1",",,X"
"PSW00040305","1945-09-05","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  104",",,X","    0",",,X","  300",",,X","  239",",,X",,,,,"    1",",,X"
"PSW00040305","1945-09-06","7.0","134.25","5.2","PELELIU ISLAND PALAU ISLANDS, PW PS","  206",",,X","    0",",,X","  278",",,X","  239",",,X",,,,,"    1",",,X"
